Country,Year,Growth,projection,Start Year,End Year
Germany,1980-1985,-0.15,0,1980,1985
Germany,1985-1990,0.35,0,1985,1990
Germany,1990-1995,0.52,0,1990,1995
Germany,1995-2000,0.07,0,1995,2000
Germany,2000-2005,0.05,0,2000,2005
Germany,2005-2010,-0.19,0,2005,2010
Germany,2010-2015,0.24,0,2010,2015
Germany,2015-2020,0.48,0,2015,2020
Ireland,1950-1955,-0.27,0,1950,1955
Ireland,1955-1960,-0.58,0,1955,1960
Ireland,1960-1965,0.23,0,1960,1965
Ireland,1965-1970,0.59,0,1965,1970
Ireland,1970-1975,1.51,0,1970,1975
Ireland,1975-1980,1.52,0,1975,1980
Ireland,1980-1985,0.73,0,1980,1985
Ireland,1985-1990,-0.00,0,1985,1990
Ireland,1990-1995,0.46,0,1990,1995
Ireland,1995-2000,1.04,0,1995,2000
Ireland,2000-2005,1.81,0,2000,2005
Ireland,2005-2010,1.90,0,2005,2010
Ireland,2010-2015,0.43,0,2010,2015
Ireland,2015-2020,1.19,0,2015,2020
Italy,1950-1955,0.73,0,1950,1955
Italy,1955-1960,0.56,0,1955,1960
Italy,1960-1965,0.78,0,1960,1965
Italy,1965-1970,0.70,0,1965,1970
Italy,1970-1975,0.64,0,1970,1975
Italy,1975-1980,0.39,0,1975,1980
Italy,1980-1985,0.21,0,1980,1985
Italy,1985-1990,0.04,0,1985,1990
Italy,1990-1995,0.04,0,1990,1995
Italy,1995-2000,-0.17,0,1995,2000
Italy,2000-2005,0.55,0,2000,2005
Italy,2005-2010,0.36,0,2005,2010
Italy,2010-2015,0.42,0,2010,2015
Italy,2015-2020,-0.04,0,2015,2020
Netherlands,1950-1955,1.29,0,1950,1955
Netherlands,1955-1960,1.34,0,1955,1960
Netherlands,1960-1965,1.35,0,1960,1965
Netherlands,1965-1970,1.19,0,1965,1970
Netherlands,1970-1975,1.02,0,1970,1975
Netherlands,1975-1980,0.67,0,1975,1980
Netherlands,1980-1985,0.51,0,1980,1985
Netherlands,1985-1990,0.61,0,1985,1990
Netherlands,1990-1995,0.66,0,1990,1995
Netherlands,1995-2000,0.58,0,1995,2000
Netherlands,2000-2005,0.55,0,2000,2005
Netherlands,2005-2010,0.38,0,2005,2010
Netherlands,2010-2015,0.30,0,2010,2015
Netherlands,2015-2020,0.23,0,2015,2020
Norway,1950-1955,0.99,0,1950,1955
Norway,1955-1960,0.87,0,1955,1960
Norway,1960-1965,0.78,0,1960,1965
Norway,1965-1970,0.80,0,1965,1970
Norway,1970-1975,0.67,0,1970,1975
Norway,1975-1980,0.39,0,1975,1980
Norway,1980-1985,0.33,0,1980,1985
Norway,1985-1990,0.45,0,1985,1990
Norway,1990-1995,0.56,0,1990,1995
Norway,1995-2000,0.60,0,1995,2000
Norway,2000-2005,0.58,0,2000,2005
Norway,2005-2010,1.07,0,2005,2010
Norway,2010-2015,1.25,0,2010,2015
Norway,2015-2020,0.83,0,2015,2020
Portugal,1950-1955,0.49,0,1950,1955
Portugal,1955-1960,0.50,0,1955,1960
Portugal,1960-1965,0.04,0,1960,1965
Portugal,1965-1970,-0.48,0,1965,1970
Portugal,1970-1975,1.17,0,1970,1975
Portugal,1975-1980,1.22,0,1975,1980
Portugal,1980-1985,0.36,0,1980,1985
Portugal,1985-1990,-0.07,0,1985,1990
Portugal,1990-1995,0.39,0,1990,1995
Portugal,1995-2000,0.40,0,1995,2000
Portugal,2000-2005,0.41,0,2000,2005
Portugal,2005-2010,0.17,0,2005,2010
Portugal,2010-2015,-0.43,0,2010,2015
Portugal,2015-2020,-0.33,0,2015,2020
Spain,1950-1955,0.69,0,1950,1955
Spain,1955-1960,0.91,0,1955,1960
Spain,1960-1965,1.12,0,1960,1965
Spain,1965-1970,1.05,0,1965,1970
Spain,1970-1975,1.14,0,1970,1975
Spain,1975-1980,0.99,0,1975,1980
Spain,1980-1985,0.54,0,1980,1985
Spain,1985-1990,0.24,0,1985,1990
Spain,1990-1995,0.30,0,1990,1995
Spain,1995-2000,0.52,0,1995,2000
Spain,2000-2005,1.51,0,2000,2005
Spain,2005-2010,1.28,0,2005,2010
Spain,2010-2015,-0.11,0,2010,2015
Spain,2015-2020,0.04,0,2015,2020
Sweden,1950-1955,0.71,0,1950,1955
Sweden,1955-1960,0.60,0,1955,1960
Sweden,1960-1965,0.69,0,1960,1965
Sweden,1965-1970,0.78,0,1965,1970
Sweden,1970-1975,0.35,0,1970,1975
Sweden,1975-1980,0.29,0,1975,1980
Sweden,1980-1985,0.10,0,1980,1985
Sweden,1985-1990,0.50,0,1985,1990
Sweden,1990-1995,0.62,0,1990,1995
Sweden,1995-2000,0.10,0,1995,2000
Sweden,2000-2005,0.35,0,2000,2005
Sweden,2005-2010,0.76,0,2005,2010
Sweden,2010-2015,0.78,0,2010,2015
Sweden,2015-2020,0.67,0,2015,2020
Switzerland,1950-1955,1.20,0,1950,1955
Switzerland,1955-1960,1.27,0,1955,1960
Switzerland,1960-1965,1.92,0,1960,1965
Switzerland,1965-1970,1.13,0,1965,1970
Switzerland,1970-1975,0.60,0,1970,1975
Switzerland,1975-1980,-0.17,0,1975,1980
Switzerland,1980-1985,0.48,0,1980,1985
Switzerland,1985-1990,0.67,0,1985,1990
Switzerland,1990-1995,1.00,0,1990,1995
Switzerland,1995-2000,0.42,0,1995,2000
Switzerland,2000-2005,0.67,0,2000,2005
Switzerland,2005-2010,1.11,0,2005,2010
Switzerland,2010-2015,1.21,0,2010,2015
Switzerland,2015-2020,0.85,0,2015,2020
United Kingdom,1950-1955,0.18,0,1950,1955
United Kingdom,1955-1960,0.51,0,1955,1960
United Kingdom,1960-1965,0.70,0,1960,1965
United Kingdom,1965-1970,0.49,0,1965,1970
United Kingdom,1970-1975,0.21,0,1970,1975
United Kingdom,1975-1980,0.02,0,1975,1980
United Kingdom,1980-1985,0.07,0,1980,1985
United Kingdom,1985-1990,0.25,0,1985,1990
United Kingdom,1990-1995,0.28,0,1990,1995
United Kingdom,1995-2000,0.34,0,1995,2000
United Kingdom,2000-2005,0.46,0,2000,2005
United Kingdom,2005-2010,1.03,0,2005,2010
United Kingdom,2010-2015,0.74,0,2010,2015
United Kingdom,2015-2020,0.61,0,2015,2020
European Total,2020-2025,-0.05,1.00,2020,2025
European Total,2025-2030,-0.12,1.00,2025,2030
European Total,2030-2035,-0.17,1.00,2030,2035
European Total,2035-2040,-0.20,1.00,2035,2040
European Total,2040-2045,-0.23,1.00,2040,2045
European Total,2045-2050,-0.26,1.00,2045,2050
European Total,2050-2055,-0.29,1.00,2050,2055
European Total,2055-2060,-0.33,1.00,2055,2060
European Total,2060-2065,-0.34,1.00,2060,2065
European Total,2065-2070,-0.32,1.00,2065,2070
European Total,2070-2075,-0.28,1.00,2070,2075
European Total,2075-2080,-0.24,1.00,2075,2080
European Total,2080-2085,-0.19,1.00,2080,2085
European Total,2085-2090,-0.16,1.00,2085,2090
European Total,2090-2095,-0.14,1.00,2090,2095
European Total,2095-2100,-0.14,1.00,2095,2100
Austria,2020-2025,0.22,1.00,2020,2025
Austria,2025-2030,0.16,1.00,2025,2030
Austria,2030-2035,0.08,1.00,2030,2035
Austria,2035-2040,0,1.00,2035,2040
Austria,2040-2045,-0.06,1.00,2040,2045
Austria,2045-2050,-0.12,1.00,2045,2050
Austria,2050-2055,-0.16,1.00,2050,2055
Austria,2055-2060,-0.18,1.00,2055,2060
Austria,2060-2065,-0.16,1.00,2060,2065
Austria,2065-2070,-0.14,1.00,2065,2070
Austria,2070-2075,-0.13,1.00,2070,2075
Austria,2075-2080,-0.13,1.00,2075,2080
Austria,2080-2085,-0.11,1.00,2080,2085
Austria,2085-2090,-0.06,1.00,2085,2090
Austria,2090-2095,0.00,1.00,2090,2095
Austria,2095-2100,0.05,1.00,2095,2100
Belgium,2020-2025,0.29,1.00,2020,2025
Belgium,2025-2030,0.25,1.00,2025,2030
Belgium,2030-2035,0.21,1.00,2030,2035
Belgium,2035-2040,0.16,1.00,2035,2040
Belgium,2040-2045,0.11,1.00,2040,2045
Belgium,2045-2050,0.06,1.00,2045,2050
Belgium,2050-2055,0.01,1.00,2050,2055
Belgium,2055-2060,0.00,1.00,2055,2060
Belgium,2060-2065,0.01,1.00,2060,2065
Belgium,2065-2070,0.03,1.00,2065,2070
Belgium,2070-2075,0.04,1.00,2070,2075
Belgium,2075-2080,0.05,1.00,2075,2080
Belgium,2080-2085,0.06,1.00,2080,2085
Belgium,2085-2090,0.07,1.00,2085,2090
Belgium,2090-2095,0.08,1.00,2090,2095
Belgium,2095-2100,0.08,1.00,2095,2100
Denmark,2020-2025,0.37,1.00,2020,2025
Denmark,2025-2030,0.34,1.00,2025,2030
Denmark,2030-2035,0.27,1.00,2030,2035
Denmark,2035-2040,0.21,1.00,2035,2040
Denmark,2040-2045,0.16,1.00,2040,2045
Denmark,2045-2050,0.16,1.00,2045,2050
Denmark,2050-2055,0.17,1.00,2050,2055
Denmark,2055-2060,0.18,1.00,2055,2060
Denmark,2060-2065,0.20,1.00,2060,2065
Denmark,2065-2070,0.22,1.00,2065,2070
Denmark,2070-2075,0.22,1.00,2070,2075
Denmark,2075-2080,0.21,1.00,2075,2080
Denmark,2080-2085,0.18,1.00,2080,2085
Denmark,2085-2090,0.17,1.00,2085,2090
Denmark,2090-2095,0.18,1.00,2090,2095
Denmark,2095-2100,0.19,1.00,2095,2100
Finland,2020-2025,0.10,1.00,2020,2025
Finland,2025-2030,0.04,1.00,2025,2030
Finland,2030-2035,-0.02,1.00,2030,2035
Finland,2035-2040,-0.08,1.00,2035,2040
Finland,2040-2045,-0.11,1.00,2040,2045
Finland,2045-2050,-0.13,1.00,2045,2050
Finland,2050-2055,-0.13,1.00,2050,2055
Finland,2055-2060,-0.11,1.00,2055,2060
Finland,2060-2065,-0.08,1.00,2060,2065
Finland,2065-2070,-0.06,1.00,2065,2070
Finland,2070-2075,-0.07,1.00,2070,2075
Finland,2075-2080,-0.09,1.00,2075,2080
Finland,2080-2085,-0.10,1.00,2080,2085
Finland,2085-2090,-0.10,1.00,2085,2090
Finland,2090-2095,-0.08,1.00,2090,2095
Finland,2095-2100,-0.06,1.00,2095,2100
France,2020-2025,0.24,1.00,2020,2025
France,2025-2030,0.19,1.00,2025,2030
France,2030-2035,0.16,1.00,2030,2035
France,2035-2040,0.10,1.00,2035,2040
France,2040-2045,0.03,1.00,2040,2045
France,2045-2050,-0.03,1.00,2045,2050
France,2050-2055,-0.07,1.00,2050,2055
France,2055-2060,-0.09,1.00,2055,2060
France,2060-2065,-0.08,1.00,2060,2065
France,2065-2070,-0.06,1.00,2065,2070
France,2070-2075,-0.05,1.00,2070,2075
France,2075-2080,-0.04,1.00,2075,2080
France,2080-2085,-0.05,1.00,2080,2085
France,2085-2090,-0.06,1.00,2085,2090
France,2090-2095,-0.06,1.00,2090,2095
France,2095-2100,-0.07,1.00,2095,2100
Germany,2020-2025,-0.06,1.00,2020,2025
Germany,2025-2030,-0.09,1.00,2025,2030
Germany,2030-2035,-0.12,1.00,2030,2035
Germany,2035-2040,-0.16,1.00,2035,2040
Germany,2040-2045,-0.21,1.00,2040,2045
Germany,2045-2050,-0.26,1.00,2045,2050
Germany,2050-2055,-0.28,1.00,2050,2055
Germany,2055-2060,-0.26,1.00,2055,2060
Germany,2060-2065,-0.22,1.00,2060,2065
Germany,2065-2070,-0.17,1.00,2065,2070
Germany,2070-2075,-0.15,1.00,2070,2075
Germany,2075-2080,-0.14,1.00,2075,2080
Germany,2080-2085,-0.11,1.00,2080,2085
Germany,2085-2090,-0.06,1.00,2085,2090
Germany,2090-2095,-0.02,1.00,2090,2095
Germany,2095-2100,0.01,1.00,2095,2100
Ireland,2020-2025,0.68,1.00,2020,2025
Ireland,2025-2030,0.54,1.00,2025,2030
Ireland,2030-2035,0.47,1.00,2030,2035
Ireland,2035-2040,0.43,1.00,2035,2040
Ireland,2040-2045,0.38,1.00,2040,2045
Ireland,2045-2050,0.29,1.00,2045,2050
Ireland,2050-2055,0.17,1.00,2050,2055
Ireland,2055-2060,0.05,1.00,2055,2060
Ireland,2060-2065,-0.04,1.00,2060,2065
Ireland,2065-2070,-0.07,1.00,2065,2070
Ireland,2070-2075,-0.04,1.00,2070,2075
Ireland,2075-2080,0.00,1.00,2075,2080
Ireland,2080-2085,0.04,1.00,2080,2085
Ireland,2085-2090,0.03,1.00,2085,2090
Ireland,2090-2095,-0.03,1.00,2090,2095
Ireland,2095-2100,-0.09,1.00,2095,2100
Italy,2020-2025,-0.20,1.00,2020,2025
Italy,2025-2030,-0.28,1.00,2025,2030
Italy,2030-2035,-0.31,1.00,2030,2035
Italy,2035-2040,-0.34,1.00,2035,2040
Italy,2040-2045,-0.43,1.00,2040,2045
Italy,2045-2050,-0.57,1.00,2045,2050
Italy,2050-2055,-0.68,1.00,2050,2055
Italy,2055-2060,-0.77,1.00,2055,2060
Italy,2060-2065,-0.80,1.00,2060,2065
Italy,2065-2070,-0.74,1.00,2065,2070
Italy,2070-2075,-0.64,1.00,2070,2075
Italy,2075-2080,-0.56,1.00,2075,2080
Italy,2080-2085,-0.51,1.00,2080,2085
Italy,2085-2090,-0.49,1.00,2085,2090
Italy,2090-2095,-0.48,1.00,2090,2095
Italy,2095-2100,-0.47,1.00,2095,2100
Netherlands,2020-2025,0.21,1.00,2020,2025
Netherlands,2025-2030,0.15,1.00,2025,2030
Netherlands,2030-2035,0.06,1.00,2030,2035
Netherlands,2035-2040,-0.05,1.00,2035,2040
Netherlands,2040-2045,-0.14,1.00,2040,2045
Netherlands,2045-2050,-0.20,1.00,2045,2050
Netherlands,2050-2055,-0.23,1.00,2050,2055
Netherlands,2055-2060,-0.22,1.00,2055,2060
Netherlands,2060-2065,-0.19,1.00,2060,2065
Netherlands,2065-2070,-0.15,1.00,2065,2070
Netherlands,2070-2075,-0.13,1.00,2070,2075
Netherlands,2075-2080,-0.15,1.00,2075,2080
Netherlands,2080-2085,-0.17,1.00,2080,2085
Netherlands,2085-2090,-0.17,1.00,2085,2090
Netherlands,2090-2095,-0.16,1.00,2090,2095
Netherlands,2095-2100,-0.14,1.00,2095,2100
Norway,2020-2025,0.83,1.00,2020,2025
Norway,2025-2030,0.78,1.00,2025,2030
Norway,2030-2035,0.70,1.00,2030,2035
Norway,2035-2040,0.61,1.00,2035,2040
Norway,2040-2045,0.54,1.00,2040,2045
Norway,2045-2050,0.49,1.00,2045,2050
Norway,2050-2055,0.45,1.00,2050,2055
Norway,2055-2060,0.42,1.00,2055,2060
Norway,2060-2065,0.41,1.00,2060,2065
Norway,2065-2070,0.40,1.00,2065,2070
Norway,2070-2075,0.39,1.00,2070,2075
Norway,2075-2080,0.37,1.00,2075,2080
Norway,2080-2085,0.34,1.00,2080,2085
Norway,2085-2090,0.32,1.00,2085,2090
Norway,2090-2095,0.32,1.00,2090,2095
Norway,2095-2100,0.32,1.00,2095,2100
Portugal,2020-2025,-0.27,1.00,2020,2025
Portugal,2025-2030,-0.30,1.00,2025,2030
Portugal,2030-2035,-0.34,1.00,2030,2035
Portugal,2035-2040,-0.39,1.00,2035,2040
Portugal,2040-2045,-0.47,1.00,2040,2045
Portugal,2045-2050,-0.55,1.00,2045,2050
Portugal,2050-2055,-0.62,1.00,2050,2055
Portugal,2055-2060,-0.67,1.00,2055,2060
Portugal,2060-2065,-0.68,1.00,2060,2065
Portugal,2065-2070,-0.65,1.00,2065,2070
Portugal,2070-2075,-0.57,1.00,2070,2075
Portugal,2075-2080,-0.49,1.00,2075,2080
Portugal,2080-2085,-0.42,1.00,2080,2085
Portugal,2085-2090,-0.40,1.00,2085,2090
Portugal,2090-2095,-0.39,1.00,2090,2095
Portugal,2095-2100,-0.36,1.00,2095,2100
Spain,2020-2025,-0.08,1.00,2020,2025
Spain,2025-2030,-0.15,1.00,2025,2030
Spain,2030-2035,-0.20,1.00,2030,2035
Spain,2035-2040,-0.24,1.00,2035,2040
Spain,2040-2045,-0.31,1.00,2040,2045
Spain,2045-2050,-0.41,1.00,2045,2050
Spain,2050-2055,-0.55,1.00,2050,2055
Spain,2055-2060,-0.68,1.00,2055,2060
Spain,2060-2065,-0.76,1.00,2060,2065
Spain,2065-2070,-0.77,1.00,2065,2070
Spain,2070-2075,-0.70,1.00,2070,2075
Spain,2075-2080,-0.56,1.00,2075,2080
Spain,2080-2085,-0.42,1.00,2080,2085
Spain,2085-2090,-0.35,1.00,2085,2090
Spain,2090-2095,-0.34,1.00,2090,2095
Spain,2095-2100,-0.36,1.00,2095,2100
Sweden,2020-2025,0.56,1.00,2020,2025
Sweden,2025-2030,0.47,1.00,2025,2030
Sweden,2030-2035,0.37,1.00,2030,2035
Sweden,2035-2040,0.33,1.00,2035,2040
Sweden,2040-2045,0.34,1.00,2040,2045
Sweden,2045-2050,0.34,1.00,2045,2050
Sweden,2050-2055,0.32,1.00,2050,2055
Sweden,2055-2060,0.29,1.00,2055,2060
Sweden,2060-2065,0.27,1.00,2060,2065
Sweden,2065-2070,0.27,1.00,2065,2070
Sweden,2070-2075,0.27,1.00,2070,2075
Sweden,2075-2080,0.26,1.00,2075,2080
Sweden,2080-2085,0.24,1.00,2080,2085
Sweden,2085-2090,0.24,1.00,2085,2090
Sweden,2090-2095,0.27,1.00,2090,2095
Sweden,2095-2100,0.27,1.00,2095,2100
Switzerland,2020-2025,0.64,1.00,2020,2025
Switzerland,2025-2030,0.55,1.00,2025,2030
Switzerland,2030-2035,0.43,1.00,2030,2035
Switzerland,2035-2040,0.35,1.00,2035,2040
Switzerland,2040-2045,0.30,1.00,2040,2045
Switzerland,2045-2050,0.26,1.00,2045,2050
Switzerland,2050-2055,0.21,1.00,2050,2055
Switzerland,2055-2060,0.18,1.00,2055,2060
Switzerland,2060-2065,0.18,1.00,2060,2065
Switzerland,2065-2070,0.20,1.00,2065,2070
Switzerland,2070-2075,0.22,1.00,2070,2075
Switzerland,2075-2080,0.22,1.00,2075,2080
Switzerland,2080-2085,0.24,1.00,2080,2085
Switzerland,2085-2090,0.28,1.00,2085,2090
Switzerland,2090-2095,0.31,1.00,2090,2095
Switzerland,2095-2100,0.32,1.00,2095,2100
United Kingdom,2020-2025,0.41,1.00,2020,2025
United Kingdom,2025-2030,0.35,1.00,2025,2030
United Kingdom,2030-2035,0.30,1.00,2030,2035
United Kingdom,2035-2040,0.26,1.00,2035,2040
United Kingdom,2040-2045,0.24,1.00,2040,2045
United Kingdom,2045-2050,0.20,1.00,2045,2050
United Kingdom,2050-2055,0.15,1.00,2050,2055
United Kingdom,2055-2060,0.11,1.00,2055,2060
United Kingdom,2060-2065,0.10,1.00,2060,2065
United Kingdom,2065-2070,0.10,1.00,2065,2070
United Kingdom,2070-2075,0.10,1.00,2070,2075
United Kingdom,2075-2080,0.09,1.00,2075,2080
United Kingdom,2080-2085,0.08,1.00,2080,2085
United Kingdom,2085-2090,0.09,1.00,2085,2090
United Kingdom,2090-2095,0.11,1.00,2090,2095
United Kingdom,2095-2100,0.11,1.00,2095,2100
