year,household,rank,Families,Number of Families,index,change,5 Year MA 
2009,Six or More People,5,476000,476,102.8077754,-3.6,1.1
2010,Six or More People,5,496000,496,107.1274298,4.2,1.5
2011,Six or More People,5,548000,548,118.3585313,10.5,2.8
2012,Six or More People,5,524000,524,113.174946,-4.4,2.1
2013,Six or More People,5,533000,533,115.1187905,1.7,1.7
2014,Six or More People,5,550000,550,118.7904968,3.2,3
2015,Six or More People,5,535000,535,115.5507559,-2.7,1.7
2016,Six or More People,5,523000,523,112.9589633,-2.2,-0.9
2017,Six or More People,5,577000,577,124.6220302,10.3,2.1
2018,Six or More People,5,540000,540,116.6306695,-6.4,0.4
2019,Six or More People,5,597000,597,128.9416847,10.6,1.9
2020,Six or More People,5,549000,549,118.574514,-8,0.8
2021,Six or More People,5,537000,537,115.9827214,-2.2,0.8
