LOCATION,TIME,Value,Country
DEU,2010,1.39,Germany
DEU,2011,1.39,Germany
DEU,2012,1.41,Germany
DEU,2013,1.42,Germany
DEU,2014,1.47,Germany
DEU,2015,1.5,Germany
DEU,2016,1.59,Germany
DEU,2017,1.57,Germany
DEU,2018,1.57,Germany
DEU,2019,1.54,Germany
JPN,1960,2,Japan
JPN,1961,1.96,Japan
JPN,1962,1.98,Japan
JPN,1963,2,Japan
JPN,1964,2.05,Japan
JPN,1965,2.14,Japan
JPN,1966,1.58,Japan
JPN,1967,2.23,Japan
JPN,1968,2.13,Japan
JPN,1969,2.13,Japan
JPN,1970,2.13,Japan
JPN,1971,2.16,Japan
JPN,1972,2.14,Japan
JPN,1973,2.14,Japan
JPN,1974,2.05,Japan
JPN,1975,1.91,Japan
JPN,1976,1.85,Japan
JPN,1977,1.8,Japan
JPN,1978,1.79,Japan
JPN,1979,1.77,Japan
JPN,1980,1.75,Japan
JPN,1981,1.74,Japan
JPN,1982,1.77,Japan
JPN,1983,1.8,Japan
JPN,1984,1.81,Japan
JPN,1985,1.76,Japan
JPN,1986,1.72,Japan
JPN,1987,1.69,Japan
JPN,1988,1.66,Japan
JPN,1989,1.57,Japan
JPN,1990,1.54,Japan
JPN,1991,1.53,Japan
JPN,1992,1.5,Japan
JPN,1993,1.46,Japan
JPN,1994,1.5,Japan
JPN,1995,1.42,Japan
JPN,1996,1.43,Japan
JPN,1997,1.39,Japan
JPN,1998,1.38,Japan
JPN,1999,1.34,Japan
JPN,2000,1.36,Japan
JPN,2001,1.33,Japan
JPN,2002,1.32,Japan
JPN,2003,1.29,Japan
JPN,2004,1.29,Japan
JPN,2005,1.26,Japan
JPN,2006,1.32,Japan
JPN,2007,1.34,Japan
JPN,2008,1.37,Japan
JPN,2009,1.37,Japan
JPN,2010,1.39,Japan
JPN,2011,1.39,Japan
JPN,2012,1.41,Japan
JPN,2013,1.43,Japan
JPN,2014,1.42,Japan
JPN,2015,1.45,Japan
JPN,2016,1.44,Japan
JPN,2017,1.43,Japan
JPN,2018,1.42,Japan
JPN,2019,1.36,Japan
MEX,1960,6.77,Mexico
MEX,1961,6.76,Mexico
MEX,1962,6.76,Mexico
MEX,1963,6.75,Mexico
MEX,1964,6.75,Mexico
MEX,1965,6.76,Mexico
MEX,1966,6.77,Mexico
MEX,1967,6.79,Mexico
MEX,1968,6.81,Mexico
MEX,1969,6.83,Mexico
MEX,1970,6.83,Mexico
MEX,1971,6.79,Mexico
MEX,1972,6.7,Mexico
MEX,1973,6.56,Mexico
MEX,1974,6.37,Mexico
MEX,1975,6.13,Mexico
MEX,1976,5.86,Mexico
MEX,1977,5.59,Mexico
MEX,1978,5.32,Mexico
MEX,1979,5.06,Mexico
MEX,1980,4.84,Mexico
MEX,1981,4.64,Mexico
MEX,1982,4.46,Mexico
MEX,1983,4.3,Mexico
MEX,1984,4.15,Mexico
MEX,1985,4.02,Mexico
MEX,1986,3.9,Mexico
MEX,1987,3.79,Mexico
MEX,1988,3.68,Mexico
MEX,1989,3.57,Mexico
MEX,1990,3.47,Mexico
MEX,1991,3.37,Mexico
MEX,1992,3.27,Mexico
MEX,1993,3.18,Mexico
MEX,1994,3.1,Mexico
MEX,1995,3.02,Mexico
MEX,1996,2.95,Mexico
MEX,1997,2.88,Mexico
MEX,1998,2.82,Mexico
MEX,1999,2.77,Mexico
MEX,2000,2.72,Mexico
MEX,2001,2.67,Mexico
MEX,2002,2.62,Mexico
MEX,2003,2.58,Mexico
MEX,2004,2.54,Mexico
MEX,2005,2.5,Mexico
MEX,2006,2.46,Mexico
MEX,2007,2.42,Mexico
MEX,2008,2.39,Mexico
MEX,2009,2.36,Mexico
MEX,2010,2.34,Mexico
MEX,2011,2.32,Mexico
MEX,2012,2.3,Mexico
MEX,2013,2.27,Mexico
MEX,2014,2.24,Mexico
MEX,2015,2.22,Mexico
MEX,2016,2.19,Mexico
MEX,2017,2.16,Mexico
MEX,2018,2.13,Mexico
MEX,2019,2.1,Mexico
GBR,1960,2.72,Great Britain
GBR,1961,2.8,Great Britain
GBR,1962,2.88,Great Britain
GBR,1963,2.92,Great Britain
GBR,1964,2.97,Great Britain
GBR,1965,2.89,Great Britain
GBR,1966,2.79,Great Britain
GBR,1967,2.69,Great Britain
GBR,1968,2.6,Great Britain
GBR,1969,2.51,Great Britain
GBR,1970,2.43,Great Britain
GBR,1971,2.4,Great Britain
GBR,1972,2.2,Great Britain
GBR,1973,2.04,Great Britain
GBR,1974,1.92,Great Britain
GBR,1975,1.81,Great Britain
GBR,1976,1.74,Great Britain
GBR,1977,1.69,Great Britain
GBR,1978,1.75,Great Britain
GBR,1979,1.86,Great Britain
GBR,1980,1.9,Great Britain
GBR,1981,1.82,Great Britain
GBR,1982,1.78,Great Britain
GBR,1983,1.77,Great Britain
GBR,1984,1.77,Great Britain
GBR,1985,1.79,Great Britain
GBR,1986,1.78,Great Britain
GBR,1987,1.81,Great Britain
GBR,1988,1.82,Great Britain
GBR,1989,1.79,Great Britain
GBR,1990,1.83,Great Britain
GBR,1991,1.82,Great Britain
GBR,1992,1.79,Great Britain
GBR,1993,1.76,Great Britain
GBR,1994,1.74,Great Britain
GBR,1995,1.71,Great Britain
GBR,1996,1.73,Great Britain
GBR,1997,1.72,Great Britain
GBR,1998,1.71,Great Britain
GBR,1999,1.68,Great Britain
GBR,2000,1.64,Great Britain
GBR,2001,1.63,Great Britain
GBR,2002,1.63,Great Britain
GBR,2003,1.7,Great Britain
GBR,2004,1.75,Great Britain
GBR,2005,1.76,Great Britain
GBR,2006,1.82,Great Britain
GBR,2007,1.86,Great Britain
GBR,2008,1.91,Great Britain
GBR,2009,1.89,Great Britain
GBR,2010,1.92,Great Britain
GBR,2011,1.91,Great Britain
GBR,2012,1.92,Great Britain
GBR,2013,1.83,Great Britain
GBR,2014,1.81,Great Britain
GBR,2015,1.8,Great Britain
GBR,2016,1.79,Great Britain
GBR,2017,1.74,Great Britain
GBR,2018,1.68,Great Britain
GBR,2019,1.63,Great Britain
USA,1960,3.65,USA
USA,1961,3.62,USA
USA,1962,3.46,USA
USA,1963,3.32,USA
USA,1964,3.19,USA
USA,1965,2.91,USA
USA,1966,2.72,USA
USA,1967,2.56,USA
USA,1968,2.46,USA
USA,1969,2.46,USA
USA,1970,2.48,USA
USA,1971,2.27,USA
USA,1972,2.01,USA
USA,1973,1.88,USA
USA,1974,1.84,USA
USA,1975,1.77,USA
USA,1976,1.74,USA
USA,1977,1.79,USA
USA,1978,1.76,USA
USA,1979,1.81,USA
USA,1980,1.84,USA
USA,1981,1.81,USA
USA,1982,1.83,USA
USA,1983,1.8,USA
USA,1984,1.81,USA
USA,1985,1.84,USA
USA,1986,1.84,USA
USA,1987,1.87,USA
USA,1988,1.93,USA
USA,1989,2.01,USA
USA,1990,2.08,USA
USA,1991,2.06,USA
USA,1992,2.05,USA
USA,1993,2.02,USA
USA,1994,2,USA
USA,1995,1.98,USA
USA,1996,1.98,USA
USA,1997,1.97,USA
USA,1998,2,USA
USA,1999,2.01,USA
USA,2000,2.06,USA
USA,2001,2.03,USA
USA,2002,2.01,USA
USA,2003,2.04,USA
USA,2004,2.05,USA
USA,2005,2.06,USA
USA,2006,2.11,USA
USA,2007,2.12,USA
USA,2008,2.07,USA
USA,2009,2,USA
USA,2010,1.93,USA
USA,2011,1.89,USA
USA,2012,1.88,USA
USA,2013,1.86,USA
USA,2014,1.86,USA
USA,2015,1.84,USA
USA,2016,1.82,USA
USA,2017,1.77,USA
USA,2018,1.73,USA
USA,2019,1.71,USA
BRA,1960,6.06,Brazil
BRA,1961,6.03,Brazil
BRA,1962,5.98,Brazil
BRA,1963,5.91,Brazil
BRA,1964,5.82,Brazil
BRA,1965,5.7,Brazil
BRA,1966,5.57,Brazil
BRA,1967,5.42,Brazil
BRA,1968,5.27,Brazil
BRA,1969,5.12,Brazil
BRA,1970,4.97,Brazil
BRA,1971,4.84,Brazil
BRA,1972,4.71,Brazil
BRA,1973,4.6,Brazil
BRA,1974,4.5,Brazil
BRA,1975,4.42,Brazil
BRA,1976,4.34,Brazil
BRA,1977,4.27,Brazil
BRA,1978,4.2,Brazil
BRA,1979,4.12,Brazil
BRA,1980,4.04,Brazil
BRA,1981,3.94,Brazil
BRA,1982,3.84,Brazil
BRA,1983,3.72,Brazil
BRA,1984,3.6,Brazil
BRA,1985,3.47,Brazil
BRA,1986,3.34,Brazil
BRA,1987,3.22,Brazil
BRA,1988,3.1,Brazil
BRA,1989,3,Brazil
BRA,1990,2.9,Brazil
BRA,1991,2.82,Brazil
BRA,1992,2.75,Brazil
BRA,1993,2.69,Brazil
BRA,1994,2.64,Brazil
BRA,1995,2.59,Brazil
BRA,1996,2.54,Brazil
BRA,1997,2.48,Brazil
BRA,1998,2.43,Brazil
BRA,1999,2.37,Brazil
BRA,2000,2.3,Brazil
BRA,2001,2.23,Brazil
BRA,2002,2.16,Brazil
BRA,2003,2.1,Brazil
BRA,2004,2.03,Brazil
BRA,2005,1.98,Brazil
BRA,2006,1.93,Brazil
BRA,2007,1.88,Brazil
BRA,2008,1.85,Brazil
BRA,2009,1.82,Brazil
BRA,2010,1.8,Brazil
BRA,2011,1.78,Brazil
BRA,2012,1.77,Brazil
BRA,2013,1.76,Brazil
BRA,2014,1.76,Brazil
BRA,2015,1.75,Brazil
BRA,2016,1.75,Brazil
BRA,2017,1.74,Brazil
BRA,2018,1.73,Brazil
BRA,2019,1.72,Brazil
CHN,1960,5.76,China
CHN,1961,5.91,China
CHN,1962,6.06,China
CHN,1963,6.21,China
CHN,1964,6.32,China
CHN,1965,6.39,China
CHN,1966,6.38,China
CHN,1967,6.32,China
CHN,1968,6.18,China
CHN,1969,5.99,China
CHN,1970,5.73,China
CHN,1971,5.4,China
CHN,1972,5.04,China
CHN,1973,4.64,China
CHN,1974,4.24,China
CHN,1975,3.86,China
CHN,1976,3.51,China
CHN,1977,3.2,China
CHN,1978,2.94,China
CHN,1979,2.75,China
CHN,1980,2.61,China
CHN,1981,2.55,China
CHN,1982,2.54,China
CHN,1983,2.56,China
CHN,1984,2.61,China
CHN,1985,2.65,China
CHN,1986,2.67,China
CHN,1987,2.64,China
CHN,1988,2.58,China
CHN,1989,2.46,China
CHN,1990,2.31,China
CHN,1991,2.14,China
CHN,1992,1.98,China
CHN,1993,1.84,China
CHN,1994,1.73,China
CHN,1995,1.66,China
CHN,1996,1.62,China
CHN,1997,1.61,China
CHN,1998,1.6,China
CHN,1999,1.6,China
CHN,2000,1.6,China
CHN,2001,1.6,China
CHN,2002,1.6,China
CHN,2003,1.6,China
CHN,2004,1.61,China
CHN,2005,1.61,China
CHN,2006,1.62,China
CHN,2007,1.62,China
CHN,2008,1.62,China
CHN,2009,1.62,China
CHN,2010,1.63,China
CHN,2011,1.63,China
CHN,2012,1.64,China
CHN,2013,1.65,China
CHN,2014,1.66,China
CHN,2015,1.67,China
CHN,2016,1.68,China
CHN,2017,1.68,China
CHN,2018,1.69,China
CHN,2019,1.7,China
IND,1960,5.91,India
IND,1961,5.9,India
IND,1962,5.89,India
IND,1963,5.88,India
IND,1964,5.86,India
IND,1965,5.83,India
IND,1966,5.79,India
IND,1967,5.75,India
IND,1968,5.7,India
IND,1969,5.65,India
IND,1970,5.59,India
IND,1971,5.52,India
IND,1972,5.44,India
IND,1973,5.36,India
IND,1974,5.28,India
IND,1975,5.19,India
IND,1976,5.11,India
IND,1977,5.03,India
IND,1978,4.96,India
IND,1979,4.89,India
IND,1980,4.83,India
IND,1981,4.77,India
IND,1982,4.7,India
IND,1983,4.64,India
IND,1984,4.56,India
IND,1985,4.48,India
IND,1986,4.4,India
IND,1987,4.31,India
IND,1988,4.22,India
IND,1989,4.13,India
IND,1990,4.05,India
IND,1991,3.96,India
IND,1992,3.88,India
IND,1993,3.8,India
IND,1994,3.72,India
IND,1995,3.65,India
IND,1996,3.58,India
IND,1997,3.51,India
IND,1998,3.45,India
IND,1999,3.38,India
IND,2000,3.31,India
IND,2001,3.24,India
IND,2002,3.18,India
IND,2003,3.11,India
IND,2004,3.04,India
IND,2005,2.97,India
IND,2006,2.9,India
IND,2007,2.82,India
IND,2008,2.74,India
IND,2009,2.66,India
IND,2010,2.58,India
IND,2011,2.51,India
IND,2012,2.44,India
IND,2013,2.38,India
IND,2014,2.33,India
IND,2015,2.3,India
IND,2016,2.27,India
IND,2017,2.24,India
IND,2018,2.22,India
IND,2019,2.2,India
RUS,1960,2.52,Russia
RUS,1961,2.45,Russia
RUS,1962,2.36,Russia
RUS,1963,2.27,Russia
RUS,1964,2.18,Russia
RUS,1965,2.13,Russia
RUS,1966,2.1,Russia
RUS,1967,2.04,Russia
RUS,1968,1.99,Russia
RUS,1969,1.97,Russia
RUS,1970,1.99,Russia
RUS,1971,2.03,Russia
RUS,1972,2.04,Russia
RUS,1973,2.01,Russia
RUS,1974,2,Russia
RUS,1975,1.98,Russia
RUS,1976,1.97,Russia
RUS,1977,1.95,Russia
RUS,1978,1.92,Russia
RUS,1979,1.9,Russia
RUS,1980,1.89,Russia
RUS,1981,1.91,Russia
RUS,1982,2.04,Russia
RUS,1983,2.11,Russia
RUS,1984,2.06,Russia
RUS,1985,2.05,Russia
RUS,1986,2.15,Russia
RUS,1987,2.22,Russia
RUS,1988,2.12,Russia
RUS,1989,2.01,Russia
RUS,1990,1.89,Russia
RUS,1991,1.73,Russia
RUS,1992,1.55,Russia
RUS,1993,1.39,Russia
RUS,1994,1.4,Russia
RUS,1995,1.34,Russia
RUS,1996,1.27,Russia
RUS,1997,1.22,Russia
RUS,1998,1.23,Russia
RUS,1999,1.16,Russia
RUS,2000,1.2,Russia
RUS,2001,1.22,Russia
RUS,2002,1.29,Russia
RUS,2003,1.32,Russia
RUS,2004,1.34,Russia
RUS,2005,1.29,Russia
RUS,2006,1.31,Russia
RUS,2007,1.42,Russia
RUS,2008,1.5,Russia
RUS,2009,1.54,Russia
RUS,2010,1.57,Russia
RUS,2011,1.58,Russia
RUS,2012,1.69,Russia
RUS,2013,1.71,Russia
RUS,2014,1.75,Russia
RUS,2015,1.78,Russia
RUS,2016,1.76,Russia
RUS,2017,1.62,Russia
RUS,2018,1.57,Russia
RUS,2019,1.5,Russia
