year,series,value,Year
2009,Single Women,28.9,2009
2008,Single Women,28.8,2008
2007,Single Women,28.7,2007
2006,Single Women,28.6,2006
2005,Single Women,28.5,2005
2004,Single Women,28.3,2004
2003,Single Women,28.1,2003
2002,Single Women,27.9,2002
2001,Single Women,27.7,2001
2000,Single Women,27.5,2000
1999,Single Women,27.3,1999
1998,Single Women,27,1998
1997,Single Women,26.7,1997
1996,Single Women,26.4,1996
1995,Single Women,26,1995
1994,Single Women,25.7,1994
1993,Single Women,25.3,1993
1992,Single Women,25,1992
1991,Single Women,24.6,1991
1990,Single Women,24.3,1990
1989,Single Women,23.9,1989
1988,Single Women,23.6,1988
1987,Single Women,23.3,1987
1986,Single Women,23.1,1986
1985,Single Women,22.8,1985
1984,Single Women,22.6,1984
1983,Single Women,22.3,1983
1982,Single Women,22.1,1982
1981,Single Women,22,1981
1980,Single Women,21.8,1980
1979,Single Women,21.7,1979
1978,Single Women,21.6,1978
1977,Single Women,21.5,1977
1976,Single Women,21.5,1976
1975,Single Women,21.4,1975
1974,Single Women,21.4,1974
1973,Single Women,21.4,1973
1972,Single Women,21.5,1972
1971,Single Women,21.4,1971
1970,Single Women,21.3,1970
1969,Single Women,21.4,1969
1968,Single Women,21.3,1968
1967,Single Women,21.2,1967
1966,Single Women,21.2,1966
1965,Single Women,21.3,1965
1964,Single Women,21.3,1964
1963,Single Women,21.3,1963
1962,Single Women,21.5,1962
1961,Single Women,21.6,1961
1960,Single Women,21.7,1960
1959,Single Women,21.7,1959
1958,Single Women,21.7,1958
1957,Single Women,21.9,1957
1956,Single Women,22,1956
1955,Single Women,22.2,1955
1954,Single Women,22.3,1954
1953,Single Women,22.4,1953
1952,Single Women,22.5,1952
1951,Single Women,22.6,1951
1950,Single Women,22.7,1950
1949,Single Women,22.8,1949
1948,Single Women,23,1948
1947,Single Women,23.2,1947
2018,Divorced Women,49,2018
2017,Divorced Women,47.9,2017
2016,Divorced Women,47.5,2016
2015,Divorced Women,46.7,2015
2014,Divorced Women,45.8,2014
2013,Divorced Women,45.4,2013
2012,Divorced Women,44.7,2012
2011,Divorced Women,43.9,2011
2010,Divorced Women,43.6,2010
2009,Divorced Women,43.4,2009
2008,Divorced Women,43.1,2008
2007,Divorced Women,42.7,2007
2006,Divorced Women,42.1,2006
2005,Divorced Women,41.6,2005
2004,Divorced Women,40.8,2004
2003,Divorced Women,40.3,2003
2002,Divorced Women,39.7,2002
2001,Divorced Women,39.2,2001
2000,Divorced Women,38.9,2000
1999,Divorced Women,38.4,1999
1998,Divorced Women,37.9,1998
1997,Divorced Women,37.4,1997
1996,Divorced Women,37.1,1996
1995,Divorced Women,36.6,1995
1994,Divorced Women,36.3,1994
1993,Divorced Women,36.2,1993
1992,Divorced Women,35.9,1992
1991,Divorced Women,35.7,1991
1990,Divorced Women,35.6,1990
1989,Divorced Women,35.4,1989
1988,Divorced Women,35.2,1988
1987,Divorced Women,34.7,1987
1986,Divorced Women,34.7,1986
1985,Divorced Women,34.4,1985
1984,Divorced Women,34.3,1984
1983,Divorced Women,34,1983
1982,Divorced Women,33.8,1982
1981,Divorced Women,33.4,1981
1980,Divorced Women,33.1,1980
1979,Divorced Women,32.8,1979
1978,Divorced Women,32.7,1978
1977,Divorced Women,32.6,1977
1976,Divorced Women,32.5,1976
1975,Divorced Women,32.6,1975
1974,Divorced Women,32.6,1974
1973,Divorced Women,32.8,1973
1972,Divorced Women,33.8,1972
1971,Divorced Women,33,1971
1970,Divorced Women,32.5,1970
1969,Divorced Women,32.9,1969
1968,Divorced Women,33.4,1968
1967,Divorced Women,34,1967
1966,Divorced Women,34.3,1966
1965,Divorced Women,34.3,1965
1964,Divorced Women,34.7,1964
1963,Divorced Women,35.2,1963
1962,Divorced Women,35.8,1962
1961,Divorced Women,35.9,1961
1960,Divorced Women,36.2,1960
1959,Divorced Women,36.3,1959
1958,Divorced Women,36,1958
1957,Divorced Women,35.8,1957
1956,Divorced Women,35.4,1956
1955,Divorced Women,35.1,1955
1954,Divorced Women,34.7,1954
1953,Divorced Women,34.5,1953
1952,Divorced Women,34.2,1952
1951,Divorced Women,33.9,1951
1950,Divorced Women,33.4,1950
1949,Divorced Women,33,1949
1948,Divorced Women,32.4,1948
1947,Divorced Women,32.3,1947
