LOCATION,TIME,Value,Country,Year
GBR,2013,3.9,Great Britain,2013
GBR,2014,3.9,Great Britain,2014
GBR,2015,3.9,Great Britain,2015
GBR,2016,3.8,Great Britain,2016
GBR,2017,3.9,Great Britain,2017
GBR,2018,3.9,Great Britain,2018
GBR,2019,3.7,Great Britain,2019
USA,1970,20,USA,1970
USA,1971,19.1,USA,1971
USA,1972,18.5,USA,1972
USA,1973,17.7,USA,1973
USA,1974,16.7,USA,1974
USA,1975,16.1,USA,1975
USA,1976,15.2,USA,1976
USA,1977,14.1,USA,1977
USA,1978,13.8,USA,1978
USA,1979,13.1,USA,1979
USA,1980,12.6,USA,1980
USA,1981,11.9,USA,1981
USA,1982,11.5,USA,1982
USA,1983,11.2,USA,1983
USA,1984,10.8,USA,1984
USA,1985,10.6,USA,1985
USA,1986,10.4,USA,1986
USA,1987,10.1,USA,1987
USA,1988,10,USA,1988
USA,1989,9.8,USA,1989
USA,1990,9.2,USA,1990
USA,1991,8.9,USA,1991
USA,1992,8.5,USA,1992
USA,1993,8.4,USA,1993
USA,1994,8,USA,1994
USA,1995,7.6,USA,1995
USA,1996,7.3,USA,1996
USA,1997,7.2,USA,1997
USA,1998,7.2,USA,1998
USA,1999,7.1,USA,1999
USA,2000,6.9,USA,2000
USA,2001,6.8,USA,2001
USA,2002,7,USA,2002
USA,2003,6.8,USA,2003
USA,2004,6.8,USA,2004
USA,2005,6.9,USA,2005
USA,2006,6.7,USA,2006
USA,2007,6.8,USA,2007
USA,2008,6.6,USA,2008
USA,2009,6.4,USA,2009
USA,2010,6.1,USA,2010
USA,2011,6.1,USA,2011
USA,2012,6,USA,2012
USA,2013,6,USA,2013
USA,2014,5.8,USA,2014
USA,2015,5.9,USA,2015
USA,2016,5.9,USA,2016
USA,2017,5.8,USA,2017
USA,2018,5.7,USA,2018
BRA,1970,101.8,Brazil,1970
BRA,1971,99.4,Brazil,1971
BRA,1972,97.1,Brazil,1972
BRA,1973,94.7,Brazil,1973
BRA,1974,92.4,Brazil,1974
BRA,1975,90,Brazil,1975
BRA,1976,87.6,Brazil,1976
BRA,1977,85.1,Brazil,1977
BRA,1978,82.4,Brazil,1978
BRA,1979,79.5,Brazil,1979
BRA,1980,76.5,Brazil,1980
BRA,1981,73.4,Brazil,1981
BRA,1982,70.5,Brazil,1982
BRA,1983,67.7,Brazil,1983
BRA,1984,65.1,Brazil,1984
BRA,1985,62.7,Brazil,1985
BRA,1986,60.5,Brazil,1986
BRA,1987,58.4,Brazil,1987
BRA,1988,56.4,Brazil,1988
BRA,1989,54.4,Brazil,1989
BRA,1990,52.4,Brazil,1990
BRA,1991,50.3,Brazil,1991
BRA,1992,48.1,Brazil,1992
BRA,1993,45.8,Brazil,1993
BRA,1994,43.3,Brazil,1994
BRA,1995,40.9,Brazil,1995
BRA,1996,38.5,Brazil,1996
BRA,1997,36.3,Brazil,1997
BRA,1998,34.2,Brazil,1998
BRA,1999,32.2,Brazil,1999
BRA,2000,30.3,Brazil,2000
BRA,2001,28.5,Brazil,2001
BRA,2002,26.7,Brazil,2002
BRA,2003,25,Brazil,2003
BRA,2004,23.5,Brazil,2004
BRA,2005,22,Brazil,2005
BRA,2006,20.6,Brazil,2006
BRA,2007,19.4,Brazil,2007
BRA,2008,18.4,Brazil,2008
BRA,2009,17.5,Brazil,2009
BRA,2010,16.7,Brazil,2010
BRA,2011,16,Brazil,2011
BRA,2012,15.4,Brazil,2012
BRA,2013,14.9,Brazil,2013
BRA,2014,14.5,Brazil,2014
BRA,2015,14,Brazil,2015
BRA,2016,14.6,Brazil,2016
BRA,2017,13.2,Brazil,2017
BRA,2018,12.8,Brazil,2018
BRA,2019,12.4,Brazil,2019
CHN,1970,79.5,China,1970
CHN,1971,75.9,China,1971
CHN,1972,72.4,China,1972
CHN,1973,69,China,1973
CHN,1974,65.5,China,1974
CHN,1975,62,China,1975
CHN,1976,58.6,China,1976
CHN,1977,55.4,China,1977
CHN,1978,52.6,China,1978
CHN,1979,50,China,1979
CHN,1980,47.8,China,1980
CHN,1981,46,China,1981
CHN,1982,44.5,China,1982
CHN,1983,43.4,China,1983
CHN,1984,42.7,China,1984
CHN,1985,42.2,China,1985
CHN,1986,42.1,China,1986
CHN,1987,42.1,China,1987
CHN,1988,42.2,China,1988
CHN,1989,42.2,China,1989
CHN,1990,42.1,China,1990
CHN,1991,41.7,China,1991
CHN,1992,41.1,China,1992
CHN,1993,40.1,China,1993
CHN,1994,39,China,1994
CHN,1995,37.7,China,1995
CHN,1996,36.4,China,1996
CHN,1997,35,China,1997
CHN,1998,33.5,China,1998
CHN,1999,31.9,China,1999
CHN,2000,30.1,China,2000
CHN,2001,28.2,China,2001
CHN,2002,26.1,China,2002
CHN,2003,24.1,China,2003
CHN,2004,22.2,China,2004
CHN,2005,20.3,China,2005
CHN,2006,18.7,China,2006
CHN,2007,17.2,China,2007
CHN,2008,15.8,China,2008
CHN,2009,14.7,China,2009
CHN,2010,13.6,China,2010
CHN,2011,12.6,China,2011
CHN,2012,11.6,China,2012
CHN,2013,10.8,China,2013
CHN,2014,9.9,China,2014
CHN,2015,9.2,China,2015
CHN,2016,8.5,China,2016
CHN,2017,7.9,China,2017
CHN,2018,7.3,China,2018
CHN,2019,6.8,China,2019
IND,1970,142.6,India,1970
IND,1971,140.6,India,1971
IND,1972,138.6,India,1972
IND,1973,136.3,India,1973
IND,1974,133.8,India,1974
IND,1975,131,India,1975
IND,1976,127.9,India,1976
IND,1977,124.6,India,1977
IND,1978,121.1,India,1978
IND,1979,117.8,India,1979
IND,1980,114.5,India,1980
IND,1981,111.4,India,1981
IND,1982,108.5,India,1982
IND,1983,105.8,India,1983
IND,1984,103.2,India,1984
IND,1985,100.8,India,1985
IND,1986,98.4,India,1986
IND,1987,95.9,India,1987
IND,1988,93.4,India,1988
IND,1989,90.9,India,1989
IND,1990,88.6,India,1990
IND,1991,86.4,India,1991
IND,1992,84.3,India,1992
IND,1993,82.2,India,1993
IND,1994,80.1,India,1994
IND,1995,78,India,1995
IND,1996,75.8,India,1996
IND,1997,73.6,India,1997
IND,1998,71.3,India,1998
IND,1999,69,India,1999
IND,2000,66.7,India,2000
IND,2001,64.4,India,2001
IND,2002,62.2,India,2002
IND,2003,60,India,2003
IND,2004,57.8,India,2004
IND,2005,55.7,India,2005
IND,2006,53.7,India,2006
IND,2007,51.6,India,2007
IND,2008,49.4,India,2008
IND,2009,47.3,India,2009
IND,2010,45.1,India,2010
IND,2011,43,India,2011
IND,2012,40.9,India,2012
IND,2013,38.8,India,2013
IND,2014,36.9,India,2014
IND,2015,34.9,India,2015
IND,2016,33.1,India,2016
IND,2017,31.4,India,2017
IND,2018,29.7,India,2018
IND,2019,28.3,India,2019
RUS,1970,31.1,Russia,1970
RUS,1971,29.9,Russia,1971
RUS,1972,28.8,Russia,1972
RUS,1973,27.7,Russia,1973
RUS,1974,26.7,Russia,1974
RUS,1975,25.9,Russia,1975
RUS,1976,25.2,Russia,1976
RUS,1977,24.6,Russia,1977
RUS,1978,24.1,Russia,1978
RUS,1979,23.6,Russia,1979
RUS,1980,22,Russia,1980
RUS,1981,21.5,Russia,1981
RUS,1982,20.2,Russia,1982
RUS,1983,19.9,Russia,1983
RUS,1984,21.1,Russia,1984
RUS,1985,20.8,Russia,1985
RUS,1986,19.1,Russia,1986
RUS,1987,19.4,Russia,1987
RUS,1988,19.1,Russia,1988
RUS,1989,18.1,Russia,1989
RUS,1990,17.4,Russia,1990
RUS,1991,17.8,Russia,1991
RUS,1992,18,Russia,1992
RUS,1993,19.9,Russia,1993
RUS,1994,18.6,Russia,1994
RUS,1995,18.1,Russia,1995
RUS,1996,17.4,Russia,1996
RUS,1997,17.2,Russia,1997
RUS,1998,16.5,Russia,1998
RUS,1999,16.9,Russia,1999
RUS,2000,15.3,Russia,2000
RUS,2001,14.6,Russia,2001
RUS,2002,13.3,Russia,2002
RUS,2003,12.4,Russia,2003
RUS,2004,11.6,Russia,2004
RUS,2005,11,Russia,2005
RUS,2006,10.2,Russia,2006
RUS,2007,9.4,Russia,2007
RUS,2008,8.5,Russia,2008
RUS,2009,8.1,Russia,2009
RUS,2010,7.5,Russia,2010
RUS,2011,7.4,Russia,2011
RUS,2012,8.6,Russia,2012
RUS,2013,8.2,Russia,2013
RUS,2014,7.4,Russia,2014
RUS,2015,6.5,Russia,2015
RUS,2016,6,Russia,2016
RUS,2017,5.6,Russia,2017
RUS,2018,5.1,Russia,2018
RUS,2019,4.9,Russia,2019
